row_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
15,Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,unknown,,0,Transient,97.0,0,3,Check-Out,2015-07-05
16,Resort Hotel,0,37kg,2015,July,27,1,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,  No Deposit ,NA,,0,Contract,97.5,0,0,Check-Out,2015-07-05
17,Resort Hotel,0,12,2015,July,27,1,0,1,2,0.0,0,,IRL,Online TA,TA/TO,0,0,0,A,E,0,  No Deposit ,240.0,,0,Transient,88.2,0,0,Check-Out,2015-07-02
18,Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,BB,FRA,,Corporate,0,0,0,A,G,0,No Deposit,,110.0,0,ransient,107.42,0,0,Check-Out,"July 02, 2015"
19,Resort Hotel,0,7,2015,July,27,1,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,7707,Transient,153.0,0,1,Check-Out,2015-07-05
20,Resort Hotel,0,3j7,2015,July,27,1,1,4,1,unknown,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,97.29,0,1,Check-Out,2015-07-06
21,Resort Hotel,0,72O,2015,July,27,1,2,4,2,0.0,0,N/A,PRT,,Direct,0,0,0,A,A,1,No Deposit,250.0,,8354,Transient,84.67,0,1,Check-Out,2015-07-07
22,Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Tarnsient,84.67,0,1,Check-Out,2015-07-07
23,Resort Hotel,0,72O,2015,July,27,1,2,4,2,0.0,0,,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,99.67,0,1,Check-Out,07/07/2015
24,Resort Hotel,0,127,2015,July,27,1,2,5,2,,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115.0,,0,  Contract ,94.95,0,1,Check-Out,2015-07-01
25,Resort Hotel,0,78,2015,July,27,1,2,5,2,0.0,0,unknown,N/A,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,63.6,1,0,Check-Out,1436313600
26,Resort Hotel,0,48,2015,July,27,1,2,5,2,0.0,0,unknown,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out,2015-07-08
27,Resort Hotel,1,60,2015,July,27,1,2,5,2, ,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,N/A,,0,Transient,107.0,0,2,Canceled,2015-05-11
28,Resort Hotel,0,77,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,94.0,0,0,Check-Out,2015-07-08
29,Resort Hotel,0,99,2015,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,87.3,1,1,Check-Out,2015-07-08
30,Resort Hotel,0,118,2015,July,27,1,4,10,1,0.0,0,BB,,Direct,Direct,0,0,0,A,A,2,  No Deposit ,,,0,rTansient,62.0,0,2,Check-Out,2015-07-15
31,Resort Hotel,0,95,2015,July,27,1,4,492,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,63.86,0,0,Check-Out,2015-07-16
32,Resort Hotel,1,96O,2015,July,27,1,2,8,2,0.0,0,BB,,unknown,Direct,0,0,0,E,E,0,No Deposit,NA,,0,Transient,108.3,0,2,Canceled,2015/05/29
33,Resort Hotel,0,69,2015,July,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,  No Deposit ,175.0,,8306,Transient,65.5,0,0,Check-Out,2015-07-08
34,eRsort Hotel,1,4S5,2015,July,27,2,1,3,3,,0,N/A,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1,Canceled,"May 19, 2015"
35,Resort Hotel,1,40,2015,July,27,2,1,3,3,NA,0,unknown,PRT, ,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1,Canceled,2015-06-19
36,Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,NA,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,98.0,0,0,Check-Out,2015-07-06
37,Resort Hotel,0,36,2015,July,27,2,1,3,3,0.0,0,BB,PRT, ,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,1,Check-Out,2015-07-06
38,Resort Hotel,1,43,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,0,Canceled,2015-05-23
39,Reosrt Hotel,0,7j0,2015,July,27,2,2,3,2,0.0,0,HB,,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,137.0,0,1,Check-Out,07/07/2015
40,Resort Hotel,1,45,2015,July,27,2,2,3,2,0.0,0,BB,PRT,unknown,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,117.81,0,0,Canceled,2015-05-18
41,Resort Hotel,0,45,2015,July,27,2,2,3,2,unknown,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out,2015-07-07
42,Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2015-07-07
43,Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,HB,ROU,NA,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,137.0,0,1,Check-Out,2015-07-07
44,Resort Hotl,0,107,2015,July,27,2,2,5,2,0.0,15, , ,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,110.7,0,2,Check-Out,"July 09, 2015"
45,Resort Hotel,1,47,2015,July,27,2,2,5,2,NA,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,153.0,0,0,Canceled,2015-06-02
46,  Resort Hotel ,0,96,2015,July,27,2,2,5,2,,0,unknown,N/A,,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,58.95,0,1,Check-Out,09-Jul-2015
47,Resort Hotel,0,113,2015,July,27,2,2,5,2O,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,,0,Transient-Party,82.88,0,2,Check-Out,2015-07-09
48,Resort Hotel,0,90,2015,July,27,2,2,5,2,0.0,0,HB,,,TA/TO,0,0,0,A,B,1,No Deposit,243.0,,0,Contract,82.35,0,0,Check-Out,09/07/2015
49,Resort Hotel,0,50,2015,July,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241.0,,0,Transient,119.35,0,1,Check-Out,2015-07-09
50,Resort Hotel,0,1O13,2015,July,27,2,2,5,2,,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,N/A,,7043,TRANSIENT-PARTy,67.58,0,2,Check-Out,2015-07-09
51,Resort Hotel,0,9l3,2015,July,27,2,3,8,2j,0.0,0,N/A,IRL, ,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Contract,56.01,0,0,Check-Out,2015-07-13
52,Resort Hotel,0,76,2015,July,27,2,4,10,2,0.0,0, ,OMN,,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,110.7,0,0,Check-Out,2015-07-16
53,Resort Hotel,0,3l,2015,July,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,88.2,1,0,Check-Out,2015-07-03
54,Resort Hotel,0,1,2015,July,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,147.0,1,0,Check-Out,03/07/2015
55,Resort Hotel,0,1,2015,July,27,2,0,1,2,2.0,0,N/A,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,NA,,0,Transient,107.0,1,2,Check-Out,2015-07-03
56,Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147.0,0,0,Check-Out,07/03/2015
57,Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,N/A,PRT,Online TA,TA/TO,0,0,0,A,D,0,  No Deposit ,240.0,,0,Transient,117.9,0,2,Check-Out,2015-07-03
58,Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2015-07-03
59,Resort Hotel,0,14,2015,July,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,oN Deposit,242.0,,0,Transient,98.0,0,1,Check-Out,2015-07-04
60,ResortHotel,0,10,2015,July,27,2,0,2,2, ,0,BB,,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,,,0,Transient,6387.11,0,0,Check-Out,2015/07/04
61,Resort Hotel,0,5,2015,July,27,2,0,2,2S,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,135.0,1,2,Check-Out,04-Jul-2015
62,Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,  No Deposit ,250.0,,0,Transient,133.0,0,1,Check-Out,2015-07-05
63,Resort Hotel,0,93,2015,July,27,2,0,3,2,,0,BB,IRL,,TA/TO,0,0,0,A,C,0,No Deposit, ,,0,Contract,58.95,0,0,Check-Out,05-Jul-2015
64,Resort Hotel,1,3j,2015,July,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,136.33,0,2,Canceled,2015-06-29
65,Resotr Hotel,0,10,2015,July,27,3,0,2,2,2.0,0,BB,,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,,0,Transient,4732.93,1,0,Check-Out,1436054400
66,Resort Hotel,0,3,2015,July,27,3,0,2,2,unknown,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,6318,Transient,110.5,0,0,Check-Out,2015-07-05
67,Resort Hotel,0,51,2015,July,27,3,0,2,2,NA,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,,0,Transient,97.0,0,0,Check-Out,2015-07-05
68,Resort Hotel,1,71B,2015,July,27,3,0,2,3,0.0,0,N/A,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,110.3,0,2,Canceled,06/16/2015
69,Resort Hotel,1,63,2015,July,27,3,0,2,2,0.0,0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,82.0,0,2,Canceled,"June 18, 2015"
70,Resort Hotel,1,62,2015,July,27,3,0,2,2€,unknown,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,TRANSIENt,97.0,0,1,Canceled,2015-07-03
71,Resort Hotel,1,101,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,1,Canceled,2015-06-12
72,RESORt hotel,0,2,2015,July,27,3,0,2,2,0.0,0,HB, ,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,91.5,0,0,Check-Out,"July 05, 2015"
73,Resort Hotel,0,15,2015,July,27,3,0,2,2,,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,8996,Transient,114.5,0,0,Check-Out,2015-07-05
74,Resort Hotel,1,51O,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,110.3,0,0,Canceled,2015-06-09
75,Resort Hotel,0,3,2015,July,27,3,1,524,2j,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,TRANSient,90.9,1,0,Check-Out,2015-07-06
76,Resort Hotel,1,48,2015,July,27,3,1,2,2O,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Canceled,2015-05-26
77,Resort Hotel,0,2,2015,July,27,3,2,2,1,NA,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,122.0,0,0,Check-Out,2015-07-07
78,Resort Hotel,0,72,2015,July,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,,0,Transient,110.7,1,0,Check-Out,2015-07-07
79,Resort Hotel,0,8€1,2015,July,27,3,2,6,3,,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,unknown,,0,Transient,85.86,0,0,Check-Out,2015-07-11
80,Resort Hotel,0,99,2015,July,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,58.95,0,0,Check-Out,2015-07-12
81,Resort Hotel,1,368,2015,July,27,3,3,354,2S,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,55.68,0,0,Canceled,2015-05-19
82,Resort Hotel,0,364,2015,July,27,3,3,7,2,0.0,31,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,55.68,0,0,Check-Out,2015-07-13
83,Resort Hotel,1,81,2015,July,27,3,3,7,2,,0,unknown,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,,0,Transient,124.0,0,1,Canceled,2015-06-09
84,Resort Hotel,0,9S9,2015,July,27,3,3,7,2,0.0,0,,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,,0,Contract,111.15,0,0,Check-Out,2015-07-13
85,Resort Hotel,0,324,2015,July,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Contract,134.73,0,0,Check-Out,2015-07-17
86,Resort Hotel,0,69O,2015,July,27,3,4,10,2O,0.0,0,N/A,GBR,Online TA,TA/TO,0,0,0,F,F,1,  No Deposit ,241.0,,0,Transient,92.45,0,1,Check-Out,2015-07-17
87,Resort Hotel,1,79O,2015,July,27,3,6,15,2,1.0,0,NA,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,108.73,0,2,Canceled,2015-04-15
88,Resort Hotel,0,1j2,2015,July,27,3,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,73.8,0,0,Check-Out,2015-07-04
89,Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,NNo Deposit,240.0,,0,Transient,98.0,1,2,Check-Out,2015-07-04
90,Resort Hotel,0,1,2015,July,27,3,0,1,2,0.0,0,,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,131.0,0,1,Check-Out,2015-07-04
91,Resort Hotel,0,21,2015,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,N/A,,0,Transient,123.0,0,0,Check-Out,2015-07-04
92,Resort Hotel,0,9,2015,July,27,3,0,1,2,0.0,0, ,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,,0,Transient,94.71,0,0,Check-Out,2015-07-04
93,RESORT HOTEl,0,109,2015,July,27,3,0,1,2O,0.0,0,BB,unknown, ,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,123.0,0,2,Check-Out,04-Jul-2015
94,Resort Hotel,1,109,2015,July,27,3,0,2,2kg,0.0,0,N/A,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,123.0,0,1,Canceled,2015-05-26
95,Resort Hotel,1,72,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,1,Canceled,2015-06-29
96,Resort Hotel,1,63,2015,July,27,3,2,713,2,0.0,0,BB,NA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,,0,Transient,117.0,0,1,Canceled,05/13/2015
97,Resort Hotel,0,63,2015,July,27,3,2,5,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,NO DEPosit,105.0,,0,Transient,196.54,0,1,Check-Out,2015-07-10
98,Resort Hotel,0,101,2015,July,27,3,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,unknown,,0,Transient,99.3,1,2,Check-Out,2015-07-10
99,Resort Hotel,0,1O02,2015,July,27,3,2,5,2,,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,90.95,0,0,Check-Out,2015-07-10
100,  Resort Hotel ,0,4S,2015,July,27,4,2,1,2,0.0,0,unknown,NA,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,92.67,0,1,Check-Out,07-Jul-2015
101,  Resort Hotel ,0,98,2015,July,27,4,2,1,2,0.0,0,BB,N/A,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,unknown,,0,Transient,71.55,1,0,Check-Out,1436227200
102,Resort Hotel,0,92,2015,July,27,4,2,4,1,2.0,0,BB,FRA,unknown,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,96.49,0,2,Check-Out,2015-07-10
103,Resort Hotel,0,95,2015,July,27,4,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No  Deposit,240.0,,0,Transient,85.8,1,2,Check-Out,2015-07-10
104,Resort Hotel,0,102,2015,July,27,4,2,5,2,0.0,0,BB,PRT, ,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,96.3,0,1,Check-Out,2015-07-11
105,Resort Hotel,1,26,2015,July,27,4,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,NA,,0,Transient,163.0,0,0,Canceled,2015-06-09
106,Resort Hotel,1,73,2015,July,27,4,2,5,3,NA,0,,PRT,NA,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Traansient,172.0,0,1,Canceled,2015-05-20
107,Resort Hotel,1,102,2015,July,27,4,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,110.7,0,1,Canceled,2015-04-22
108,Resort Hotel,0,115,2015,July,27,4,2,5,2l,0.0,0, ,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,58.95,0,1,Check-Out,2015-07-11
109,Resort Hotel,0,102,2015,July,27,4,2,5,2,NA,1,BB,PRT,NA,TA/TO,0,0,0,A,A,0,  No Deposit ,240.0,,0,Transient,73.8,0,2,Check-Out,2015-07-11
110,Resort Hotel,0,86,2015,July,27,4,2,5,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,,0,Transient,97.0,0,2,Check-Out,2015-07-11
111,Rseort Hotel,0,78,2015,July,27,4,2,5,2,0.0,1,HB,,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,,,0,Transient,139.0,0,2,Check-Out,1436572800
112,Resort Hotle,0,52,2015,July,27,4,2,5,2,0.0,0,, ,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147.0,,0,TRansient,67.24,0,0,Check-Out,1436572800
113,Resort HHotel,0,29,2015,July,27,4,2,6,3,0.0,0,unknown, ,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,unknown,,0,Transient,116.5,0,1,Check-Out,12-Jul-2015
114,Resort Hotel,1,101,2015,July,27,4,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,,,0,Transient,96.3,0,1,Canceled,12/05/2015
115,Resort Hotel,0,109,2015,July,27,4,2,6,2O,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,123.0,0,1,Check-Out,2015-07-12
116,Resort Hotel,0,92,2015,July,27,4,4,6,2S,0.0,0,BB,GBR,N/A,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,71.55,0,1,Check-Out,2015-07-14
117,Resort Hotel,0,92,2015,July,27,4,4,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,71.55,0,1,Check-Out,1436832000
118,Resort Hotel,0,79,2015,July,27,4,4,6,2O,unknown,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,149.0,0,1,Check-Out,2015-07-14
119,Resort Hotel,0,2,2015,July,27,4,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,NNo Deposit,240.0,,0,Transient,163.0,1,0,Check-Out,"July 05, 2015"
120,Resort Hotel,0,30,2015,July,27,4,0,1,2B,0.0,0,,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,Noo Deposit,8.0,,0,Contract,79.5,0,0,Check-Out,1436054400
121,Resort Hotel,1,51,2015,July,27,4,0,1,1,0.0,0, ,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,105.0,0,0,Canceled,2015-05-29
122,Resort Hotel,1,36,2015,July,27,4,0,1,1j,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250.0,,0,Transient,123.0,0,0,No-Show,2015-07-04
123,Resort Hotel,1,7€3,2015,July,27,4,0,1,2,0.0,0,,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,NA,,0,Transient,73.8,0,2,Canceled,2015-05-13
124,Rseort Hotel,1,33,2015,July,27,4,0,1,2,0.0,0,BB,NA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,5202.2,0,0,Canceled,06/16/2015
125,Resort Hotel,0,32,2015,July,27,4,0,1,4,0.0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No eDposit,,,0,Transient,0.0,0,1,Check-Out,2015-07-05
126,Resort Hotel,0,8,2015,July,27,4,0,1,2,0.0,0,BB,N/A,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transiet,123.0,0,0,Check-Out,2015/07/05
127,Resort Hotel,0,1O0,2015,July,27,4,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Depsit,240.0,,0,Transient-Party,73.8,1,1,Check-Out,2015-07-06
128,Resort Hotel,0,1,2015,July,27,4,1,1,2,unknown,16,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,114.5,0,0,Check-Out,2015-07-06
129,Resort Hotel,0,100,2015,July,27,4,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,NA,,0,Transient-Party,73.8,0,2,Check-Out,2015-07-06
130,Resort Hotel,0,100,2015,July,27,4,1,1,2,unknown,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,N oDeposit,240.0,,0,Transient-Party,73.8,0,1,Check-Out,2015-07-06
